userTimeStamp,timeTaken,totalDistance,Xdist,Ydist,stepCount (is tutorial?),buttonCount (currentMode),modeName,positionSeed,modeSeed,,age
25/08/2021 00:50:10,75.85,12.59,6.22,10.94,1,1,spatialHarmonicsTwoD,3,6,8/25/2021 1:31:37,27
25/08/2021 00:50:10,65.40,16.82,15.35,6.87,2,1,spatialHarmonicsTwoD,3,6,,27
25/08/2021 00:50:10,4.07,12.56,6.26,10.89,3,1,spatialHarmonicsTwoD,3,6,,27
25/08/2021 00:50:10,24.30,9.91,0.86,9.87,4,1,spatialHarmonicsTwoD,3,6,,27
25/08/2021 00:50:10,8.03,13.08,9.22,9.28,5,1,spatialHarmonicsTwoD,3,6,,27
25/08/2021 00:50:10,9.80,8.47,3.54,7.70,6,1,spatialHarmonicsTwoD,3,6,,27
25/08/2021 00:50:10,46.58,12.13,0.02,12.13,7,1,spatialHarmonicsTwoD,3,6,,27
25/08/2021 00:50:10,80.27,6.85,3.15,6.08,8,1,spatialHarmonicsTwoD,3,6,,27
25/08/2021 00:50:10,6.83,11.74,8.79,7.78,9,1,spatialHarmonicsTwoD,3,6,,27
25/08/2021 00:50:10,15.73,11.43,6.97,9.06,10,1,spatialHarmonicsTwoD,3,6,,27
25/08/2021 20:47:23,9.87,0.04,0.02,0.04,1,2,spatialHarmonicsTwoD,4,2,8/25/2021 21:17:00,34
25/08/2021 20:47:23,29.88,0.51,0.32,0.40,2,2,spatialHarmonicsTwoD,4,2,,34
25/08/2021 20:47:23,10.87,0.50,0.37,0.34,3,2,spatialHarmonicsTwoD,4,2,,34
25/08/2021 20:47:23,10.69,0.13,0.13,0.01,4,2,spatialHarmonicsTwoD,4,2,,34
25/08/2021 20:47:23,17.69,0.40,0.26,0.31,5,2,spatialHarmonicsTwoD,4,2,,34
25/08/2021 20:47:23,2.60,0.18,0.15,0.09,6,2,spatialHarmonicsTwoD,4,2,,34
25/08/2021 20:47:23,6.02,0.30,0.24,0.19,7,2,spatialHarmonicsTwoD,4,2,,34
25/08/2021 20:47:23,7.05,0.11,0.10,0.04,8,2,spatialHarmonicsTwoD,4,2,,34
25/08/2021 20:47:23,20.21,0.39,0.19,0.34,9,2,spatialHarmonicsTwoD,4,2,,34
25/08/2021 20:47:23,15.49,0.22,0.09,0.20,10,2,spatialHarmonicsTwoD,4,2,,34
27/08/2021 7:51:54 AM,64.22,0.38,0.37,0.08,1,0,spatialHarmonicsTwoD,2,4,8/26/2021 19:20:41,27
27/08/2021 7:51:54 AM,69.57,0.47,0.47,0.01,2,0,spatialHarmonicsTwoD,2,4,,27
27/08/2021 7:51:54 AM,26.05,20.90,20.69,2.91,3,0,spatialHarmonicsTwoD,2,4,,27
27/08/2021 7:51:54 AM,38.38,0.37,0.35,0.12,4,0,spatialHarmonicsTwoD,2,4,,27
27/08/2021 7:51:54 AM,10.80,0.26,0.10,0.24,5,0,spatialHarmonicsTwoD,2,4,,27
27/08/2021 7:51:54 AM,12.25,0.35,0.03,0.35,6,0,spatialHarmonicsTwoD,2,4,,27
27/08/2021 7:51:54 AM,20.80,0.35,0.32,0.14,7,0,spatialHarmonicsTwoD,2,4,,27
27/08/2021 7:51:54 AM,17.10,0.16,0.04,0.16,8,0,spatialHarmonicsTwoD,2,4,,27
27/08/2021 7:51:54 AM,12.78,0.24,0.05,0.24,9,0,spatialHarmonicsTwoD,2,4,,27
27/08/2021 7:51:54 AM,24.56,0.17,0.14,0.10,10,0,spatialHarmonicsTwoD,2,4,,27
27/08/2021 21:32:21,72.02,0.10,0.09,0.05,1,0,spatialHarmonicsTwoD,8,4,8/27/2021 17:13:57,30
27/08/2021 21:32:21,133.01,47.60,47.60,0.16,2,0,spatialHarmonicsTwoD,8,4,,30
27/08/2021 21:32:21,86.44,0.26,0.04,0.26,3,0,spatialHarmonicsTwoD,8,4,,30
27/08/2021 21:32:21,44.59,52.36,37.84,36.19,4,0,spatialHarmonicsTwoD,8,4,,30
27/08/2021 21:32:21,23.37,0.38,0.21,0.32,5,0,spatialHarmonicsTwoD,8,4,,30
27/08/2021 21:32:21,8.12,0.26,0.26,0.03,6,0,spatialHarmonicsTwoD,8,4,,30
27/08/2021 21:32:21,99.37,21.74,19.96,8.62,7,0,spatialHarmonicsTwoD,8,4,,30
27/08/2021 21:32:21,11.77,0.24,0.23,0.05,8,0,spatialHarmonicsTwoD,8,4,,30
27/08/2021 21:32:21,41.69,1.83,0.38,1.79,9,0,spatialHarmonicsTwoD,8,4,,30
27/08/2021 21:32:21,22.75,0.69,0.13,0.68,10,0,spatialHarmonicsTwoD,8,4,,30
27/08/2021 18:32:42,31.90,22.07,19.52,10.29,1,1,spatialHarmonicsTwoD,4,6,8/27/2021 19:09:55,29
27/08/2021 18:32:42,7.95,5.93,4.20,4.18,2,1,spatialHarmonicsTwoD,4,6,,29
27/08/2021 18:32:42,5.23,11.61,10.06,5.78,3,1,spatialHarmonicsTwoD,4,6,,29
27/08/2021 18:32:42,12.88,5.54,0.55,5.51,4,1,spatialHarmonicsTwoD,4,6,,29
27/08/2021 18:32:42,12.92,9.77,7.10,6.71,5,1,spatialHarmonicsTwoD,4,6,,29
27/08/2021 18:32:42,8.43,9.79,6.27,7.52,6,1,spatialHarmonicsTwoD,4,6,,29
27/08/2021 18:32:42,6.77,10.09,0.03,10.09,7,1,spatialHarmonicsTwoD,4,6,,29
27/08/2021 18:32:42,63.97,11.08,10.95,1.72,8,1,spatialHarmonicsTwoD,4,6,,29
27/08/2021 18:32:42,11.73,0.36,0.25,0.25,9,1,spatialHarmonicsTwoD,4,6,,29
27/08/2021 18:32:42,13.17,0.19,0.19,0.05,10,1,spatialHarmonicsTwoD,4,6,,29
6/9/2021 4:10:32 PM,44.58364,0.1476552,0.1300025,0.07001007,1,0,spatialHarmonicsTwoD,1,4,9/6/2021 16:44:09,28
6/9/2021 4:10:32 PM,6.350221,0.09999999,9.54E-07,0.09999999,2,0,spatialHarmonicsTwoD,1,4,,28
6/9/2021 4:10:32 PM,16.64994,0.1627895,0.03000021,0.1600013,3,0,spatialHarmonicsTwoD,1,4,,28
6/9/2021 4:10:32 PM,22.53329,0.350036,0.005000114,0.3500003,4,0,spatialHarmonicsTwoD,1,4,,28
06/09/2021 16:10:32,18.58357,0.4690708,0.2883196,0.3699989,5,0,spatialHarmonicsTwoD,1,4,,28
06/09/2021 16:10:32,22.16685,0.1147763,0.1033134,0.04999924,6,0,spatialHarmonicsTwoD,1,4,,28
06/09/2021 16:10:32,12.96649,0.3182747,0.2299974,0.2199999,7,0,spatialHarmonicsTwoD,1,4,,28
06/09/2021 16:10:32,15.68353,0.3453102,0.2883372,0.190002,8,0,spatialHarmonicsTwoD,1,4,,28
06/09/2021 16:10:32,23.25004,0.07310568,0.06666547,0.03000259,9,0,spatialHarmonicsTwoD,1,4,,28
06/09/2021 16:10:32,10.1003,0.3782016,0.07833529,0.37,10,0,spatialHarmonicsTwoD,1,4,,28
19/08/2021 2:25:19 p.m.,13.21,11.24,7.82,8.08,1,0,spatialHarmonicsTwoD,4,4,8/18/2021 23:21:52,39
19/08/2021 2:25:19 p.m.,8.77,3.87,0.15,3.87,2,0,spatialHarmonicsTwoD,4,4,,39
19/08/2021 2:25:19 p.m.,3.13,8.10,7.83,2.07,3,0,spatialHarmonicsTwoD,4,4,,39
19/08/2021 2:25:19 p.m.,11.76,7.39,6.14,4.11,4,0,spatialHarmonicsTwoD,4,4,,39
19/08/2021 2:25:19 p.m.,3.49,11.60,8.37,8.03,5,0,spatialHarmonicsTwoD,4,4,,39
19/08/2021 2:25:19 p.m.,11.36,2.37,1.70,1.65,6,0,spatialHarmonicsTwoD,4,4,,39
19/08/2021 2:25:19 p.m.,3.99,4.26,1.98,3.77,7,0,spatialHarmonicsTwoD,4,4,,39
19/08/2021 2:25:19 p.m.,3.25,3.85,0.24,3.84,8,0,spatialHarmonicsTwoD,4,4,,39
19/08/2021 2:25:19 p.m.,3.96,4.63,4.05,2.26,9,0,spatialHarmonicsTwoD,4,4,,39
19/08/2021 2:25:19 p.m.,3.58,1.38,0.06,1.38,10,0,spatialHarmonicsTwoD,4,4,,39
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Time (s),2D Dist,X Dist,Y Dist,,,,,,,
N = 170,24.87,5.93,4.15,3.40,,,,,,,
,,,,,,,,,,,
,,,X target,Y target,2D target,,,,,,
,Acc:,,0.6714285714,0.6,0.5714285714,,,26 - 49,5.929268611,70,